Commodity Name,Number,File,Headers,Historical,Analysis
ALUMINIUM EURO PREM DUTY-PAID - COMMODITY EXCHANGE INC.,191696,Aluminum,Market_and_Exchange_Names,2022.csv,Comm_Net
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE,050642,Butter,Report_Date_as_MM_DD_YYYY,2021.csv,Comm_Max
CANOLA - ICE FUTURES U.S.,135731,Canola,CFTC_Contract_Market_Code,2020.csv,Comm_Min
CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE,063642,Cheese,Open_Interest_All,2019.csv,Comm_Index
COAL (API 2) CIF ARA - NEW YORK MERCANTILE EXCHANGE,024656,Coal,Prod_Merc_Positions_Long_ALL,2018.csv,Swap_Net
COCOA - ICE FUTURES U.S.,073732,Cocoa,Prod_Merc_Positions_Short_ALL,2017.csv,Swap_Max
COFFEE C - ICE FUTURES U.S.,083731,Coffee,Swap_Positions_Long_All,2016.csv,Swap_Min
COPPER- #1 - COMMODITY EXCHANGE INC.,085692,Copper,Swap__Positions_Short_All,2006-2015.csv,Swap_Index
CORN - CHICAGO BOARD OF TRADE,002602,Corn,Swap__Positions_Spread_All,,M_Money_Net
COTTON NO. 2 - ICE FUTURES U.S.,033661,Cotton,M_Money_Positions_Long_ALL,,M_Money_Max
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",067411,Crude Oil,M_Money_Positions_Short_ALL,,M_Money_Min
"ETHANE, MT. BELV-ENTERPRISE - ICE FUTURES ENERGY DIV",066416,Ethane,M_Money_Positions_Spread_ALL,,M_Money_Index
ETHANOL - NEW YORK MERCANTILE EXCHANGE,025651,Ethanol,Other_Rept_Positions_Long_ALL,,Other_Net
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,040701,Orange Juice,Other_Rept_Positions_Short_ALL,,Other_Max
GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,111659,Gasoline,Other_Rept_Positions_Spread_ALL,,Other_Min
GOLD - COMMODITY EXCHANGE INC.,088691,Gold,Tot_Rept_Positions_Long_All,,Other_Index
HENRY HUB - NEW YORK MERCANTILE EXCHANGE,03565B,Henry Hub,Tot_Rept_Positions_Short_All,,
HENRY HUB INDEX - ICE FUTURES ENERGY DIV,0233AH,Henry Hub Index,NonRept_Positions_Long_All,,
LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,054642,Lean Hogs,NonRept_Positions_Short_All,,
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,057642,Live Cattle,Comm_Net,,
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,023651,Natural Gas,Comm_Max,,
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,075651,Palladium,Comm_Min,,
PLATINUM - NEW YORK MERCANTILE EXCHANGE,076651,Platinum,Comm_Index,,
PROPANE - NEW YORK MERCANTILE EXCHANGE,06665O,Propane,M_Money_Net,,
ROUGH RICE - CHICAGO BOARD OF TRADE,039601,Rough Rice,M_Money_Max,,
SILVER - COMMODITY EXCHANGE INC.,084691,Silver,M_Money_Min,,
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,026603,Soybean Meal,M_Money_Index,,
SOYBEAN OIL - CHICAGO BOARD OF TRADE,007601,Soybean Oil,Swap_Net,,
SOYBEANS - CHICAGO BOARD OF TRADE,005602,Soybeans,Swap_Max,,
STEEL-HRC - COMMODITY EXCHANGE INC.,192651,Steel,Swap_Min,,
SUGAR NO. 11 - ICE FUTURES U.S.,080732,Sugar,Swap_Index,,
WHEAT-HRW - CHICAGO BOARD OF TRADE,001612,Wheat-HRW,Other_Net,,
WHEAT-SRW - CHICAGO BOARD OF TRADE,001602,Wheat,Other_Max,,
WTI FINANCIAL CRUDE OIL - NEW YORK MERCANTILE EXCHANGE,06765A,WTI Crude Oil,Other_Min,,
WTI-PHYSICAL - NEW YORK MERCANTILE EXCHANGE,067651,WTI,Other_Index,,
