Financial,Number,File,Headers,Historical,Analysis
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,Australian Dollar,Market_and_Exchange_Names,F2022.csv,Dealer_Net
BITCOIN - CHICAGO MERCANTILE EXCHANGE,133741,Bitcoin,Report_Date_as_MM_DD_YYYY,F2021.csv,Dealer_Max
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,Brazilian Real,CFTC_Contract_Market_Code,F2020.csv,Dealer_Min
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,96742,British Pound,Open_Interest_All,F2019.csv,Dealer_Index
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,90741,Canadian Dollar,Dealer_Positions_Long_All,F2018.csv,Asset_Mgr_Net
DJIA Consolidated - CHICAGO BOARD OF TRADE,12460+,Dow Jones Consolidated,Dealer_Positions_Short_All,F2017.csv,Asset_Mgr_Max
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,Dow Jones Real Estate,Asset_Mgr_Positions_Long_All,F2006-16.csv,Asset_Mgr_Min
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,239744,Emini Russell,Asset_Mgr_Positions_Short_All,,Asset_Mgr_Index
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,E-Mini S&P,Asset_Mgr_Positions_Spread_All,,Lev_Money_Net
E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,E-Mini S&P Energy,Lev_Money_Positions_Long_All,,Lev_Money_Max
E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13874C,E-Mini S&P Financial,Lev_Money_Positions_Short_All,,Lev_Money_Min
E-MINI S&P HEALTH CARE INDEX - CHICAGO MERCANTILE EXCHANGE,13874E,E-Mini S&P Health Care,Lev_Money_Positions_Spread_All,,Lev_Money_Index
E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,13874J,E-Mini S&P Utilities,Other_Rept_Positions_Long_All,,Other_Net
ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,146021,Ethereum,Other_Rept_Positions_Short_All,,Other_Max
EURO FX - CHICAGO MERCANTILE EXCHANGE,99741,Euro FX,Other_Rept_Positions_Spread_All,,Other_Min
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,Euro FX British Pound,Tot_Rept_Positions_Long_All,,Other_Index
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,132741,Eurodollars,Tot_Rept_Positions_Short_All,,
FED FUNDS - CHICAGO BOARD OF TRADE,45601,Fed Funds,NonRept_Positions_Long_All,,
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97741,Japenese Yen,NonRept_Positions_Short_All,,
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,95741,Mexican Peso,Dealer_Net,,
MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,133742,Micro Bitcoin,Dealer_Max,,
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,209747,Micro E-Mini Nasdaq,Dealer_Min,,
MICRO ETHER - CHICAGO MERCANTILE EXCHANGE,146022,Micro Ether,Dealer_Index,,
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,209742,Nasdaq Mini,Asset_Mgr_Net,,
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,20974+,Nasdaq Consolidated,Asset_Mgr_Max,,
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,240743,Nikkei Stock,Asset_Mgr_Min,,
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,112741,NZ Dollar,Asset_Mgr_Index,,
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,239742,Russell E-Mini,Lev_Money_Net,,
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,S&P Consolidated,Lev_Money_Max,,
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,122741,SO African Rand,Lev_Money_Min,,
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,92741,Swiss Franc,Lev_Money_Index,,
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,43607,Ultra UST 10Y,Other_Net,,
ULTRA UST BOND - CHICAGO BOARD OF TRADE,20604,Ultra UST Bond,Other_Max,,
USD INDEX - ICE FUTURES U.S.,98662,USD Index,Other_Min,,
UST 10Y NOTE - CHICAGO BOARD OF TRADE,43602,UST 10Y,Other_Index,,
UST 2Y NOTE - CHICAGO BOARD OF TRADE,42601,UST 2Y,,,
UST 5Y NOTE - CHICAGO BOARD OF TRADE,44601,UST 5Y,,,
UST BOND - CHICAGO BOARD OF TRADE,20601,UST Bond,,,
VIX FUTURES - CBOE FUTURES EXCHANGE,11700,VIX,,,
